99,27,122.77
99,419,584.55
99,493,124.61
99,520,156.31
99,523,145.55
99,529,318.64
99,532,90.55
100,29,227.7
100,101,177.9
100,417,237.92
100,487,169.41
100,497,240.06
101,100,215.12
101,111,467.31
101,414,131.03
101,417,187.79
101,489,300.31
101,497,307.8
101,500,292.64
101,502,178.3
102,438,191.69
102,456,232.19
102,485,127.86
102,517,148.3
102,552,206.21
103,19,168.01
103,20,317.11
103,29,291.91
103,82,121.33
103,440,193.51
103,444,92.25
103,484,196.62
103,516,245.28
104,420,532.41
104,425,90.75
104,457,79.87
104,508,114.74
105,7,102.49
105,56,83.17
105,124,109.5
106,40,122.6
106,459,70.05
106,495,214.42
106,500,229.28
106,502,172.47
106,504,148.06
106,506,288.99
106,543,444.26
107,110,218.77
107,460,83.95
107,481,224.29
107,482,135.87
107,488,139.5
107,517,88.33
107,531,80.13
107,547,116.68
107,551,79.37
107,553,71.03
107,554,109.14
108,113,181.1
108,114,132.12
108,161,148.48
108,177,131.64
108,350,118.64
108,393,269.38
109,446,116.12
109,505,292.35
109,530,273.2
109,536,269.63
109,555,326.42
109,557,451.49
110,107,194.99
110,418,194.87
110,460,142.49
110,488,136.24
110,492,158.8
110,497,175.02
110,503,175.97
110,548,164.0
111,1,315.96
111,29,718.81
111,39,134.21
111,78,183.9
111,101,416.29
111,167,186.24
111,171,211.3
111,188,130.23
111,297,186.65
111,303,145.89
111,414,382.79
111,417,591.66
112,1,98.48
112,183,179.54
112,188,122.98
112,189,177.88
112,212,152.97
112,217,392.53
112,220,282.18
113,33,129.46
113,108,120.03
113,114,134.4
113,115,114.02
113,159,193.11
113,161,166.68
114,108,141.83
114,113,187.18
114,159,186.89
114,349,248.19
114,350,140.2
115,33,116.14
115,113,82.86
115,158,164.19
115,160,234.76
115,161,222.54
115,229,219.04
116,52,128.93
116,117,214.15
116,118,112.99
116,131,192.15
116,133,110.72
116,142,122.55
116,185,158.9
116,192,107.12
117,116,204.53
117,118,125.39
117,120,210.91
117,134,183.1
117,136,165.27
117,191,114.75
117,192,112.54
118,116,87.77
118,117,119.37
118,120,111.96
118,131,103.34
118,135,196.47
118,136,204.18
118,142,112.78
118,192,201.52
119,31,150.7
119,34,117.94
119,123,117.34
119,125,162.75
119,138,209.23
119,140,102.55
119,151,277.43
119,156,117.31
120,117,153.2
120,118,86.64
120,135,172.59
120,136,101.65
120,195,241.17
121,1,129.32
121,44,116.84
121,56,303.93
121,124,131.52
121,212,153.39
122,7,233.86
122,44,84.12
122,56,104.35
122,123,110.68
122,138,121.82
123,7,351.87
123,31,198.14
123,119,118.91
123,122,154.82
123,138,193.02
123,151,123.47
124,1,432.4
124,7,510.83
124,56,330.43
124,105,210.86
124,121,163.35
125,34,109.94
125,119,259.18
125,139,168.39
125,140,105.07
125,246,101.97
126,62,400.64
126,202,201.51
126,213,119.74
126,217,146.97
126,224,130.71
126,295,242.96
127,31,142.49
127,36,131.93
127,156,139.34
127,233,160.98
128,213,121.79
128,220,186.62
128,295,195.11
129,160,188.99
129,161,112.6
129,172,159.75
129,176,102.36
